OfferId,OverallStatus,Status,Hiretype,RecruiterGPN,Title,Age,Original State,PinCode,Source,Department,IT,Joining Center,Facility,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike%,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided,ExpectedJoiningDate,ActualJoiningDate
20658,Joined,OfferAccepted,New Employee,XE020M42382,0,33.89589041,Karnataka,560016,EMPLOYEE REFERRAL,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,1,0,33%,0,0,0,1,0,02-07-2018,02-07-2018
21331,Joined,OfferAccepted,New Employee,XE020M42382,0,38.68493151,Karnataka,560037,PORTAL,Tax ACR,0,Bangalore,BLR CORAL/EYGDS/SEZ,32,FALSE,2,CA,0,0,31%,0,0,0,1,0,30-07-2018,30-07-2018
21383,Joined,OfferAccepted,New Employee,XE020M39949,0,29.56164384,Karnataka,560007,EMPLOYEE REFERRAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,0,0,36%,0,0,0,1,0,16-07-2018,16-07-2018
21389,Joined,OfferAccepted,New Employee,XE020M42382,1,31.24657534,New Delhi,110018,CONSULTANCY,GCR,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,42,FALSE,2,MBA,1,0,36%,0,0,0,1,1,16-07-2018,16-07-2018
21597,Joined,OfferAccepted,New Employee,XE021301732,0,32.40821918,Karnataka,560075,EMPLOYEE REFERRAL,MENA,0,Kochi,KOC Carnival2/All Entities/SEZ,42,TRUE,2,MBA,0,0,23%,0,0,0,1,0,30-07-2018,30-07-2018
21786,Joined,OfferAccepted,New Employee,XE020M39949,1,27.41917808,Karnataka,560010,EMPLOYEE REFERRAL,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,10%,0,0,0,1,0,23-07-2018,23-07-2018
21913,Joined,OfferAccepted,New Employee,XE020M42382,1,32.20273973,Telangana,500072,CONSULTANCY,GCR,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,MBA,1,0,29%,0,0,0,1,1,02-07-2018,02-07-2018
21945,Joined,OfferAccepted,New Employee,XE020M00201,1,31.4739726,Uttar Pradesh,201310,EMPLOYEE REFERRAL,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,32,FALSE,2,Post Grad,1,0,43%,0,0,0,1,1,03-09-2018,03-09-2018
21999,Joined,OfferAccepted,New Employee,XE020M32824,1,29.53424658,West Bengal,700031,EMPLOYEE REFERRAL,PAS,0,Chennai,CHN DLF/EYLLP/EYGDS/SEZ,44,FALSE,2,Post Grad,1,0,24%,0,0,0,1,0,02-07-2018,02-07-2018
22000,Joined,OfferAccepted,New Employee,XE020M32824,0,31.92328767,West Bengal,700007,CONSULTANCY,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,1,0,24%,0,0,0,1,0,09-07-2018,09-07-2018
