OverallStatus,Hiretype,Title,Age,Original State,Source,IT,Joining Center,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided
Joined,New Employee,0,33.89589041,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,1,33%,0,0,0,1,0
Joined,New Employee,0,38.68493151,Karnataka,PORTAL,0,Bangalore,32,FALSE,2,CA,0,31%,0,0,0,1,0
Joined,New Employee,0,29.56164384,Karnataka,EMPLOYEE REFERRAL,1,Bangalore,42,FALSE,2,Grad,0,36%,0,0,0,1,0
Joined,New Employee,1,31.24657534,New Delhi,CONSULTANCY,0,Gurgaon,42,FALSE,2,MBA,1,36%,0,0,0,1,1
Joined,New Employee,0,32.40821918,Karnataka,EMPLOYEE REFERRAL,0,Kochi,42,TRUE,2,MBA,0,23%,0,0,0,1,0
Joined,New Employee,1,27.41917808,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,44,FALSE,2,Post Grad,0,10%,0,0,0,1,0
Joined,New Employee,1,32.20273973,Telangana,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,29%,0,0,0,1,1
Joined,New Employee,1,31.4739726,Uttar Pradesh,EMPLOYEE REFERRAL,0,Bangalore,32,FALSE,2,Post Grad,1,43%,0,0,0,1,1
Joined,New Employee,1,29.53424658,West Bengal,EMPLOYEE REFERRAL,0,Chennai,44,FALSE,2,Post Grad,1,24%,0,0,0,1,0
Joined,New Employee,0,31.92328767,West Bengal,CONSULTANCY,0,Bangalore,44,FALSE,2,Grad,1,24%,0,0,0,1,0
Joined,New Employee,0,26.11506849,Karnataka,PORTAL,0,Bangalore,44,FALSE,2,MBA,1,24%,0,0,0,1,0
Joined,New Employee,0,31.22739726,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,33%,0,0,0,1,0
Joined,New Employee,1,28.24931507,Maharashtra,EMPLOYEE REFERRAL,0,Gurgaon,42,FALSE,2,MBA,0,40%,0,0,0,1,1
Joined,New Employee,0,31.85205479,Maharashtra,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,32%,0,0,0,1,1
Joined,New Employee,0,27.57808219,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,MBA,0,18%,0,0,0,1,0
Joined,New Employee,0,30.24931507,Telangana,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,MBA,1,37%,0,0,0,1,1
OfferDeclined,New Employee,0,29.04657534,Karnataka,PORTAL,1,Bangalore,44,FALSE,2,Grad,0,20%,0,0,0,1,0
Joined,New Employee,1,30.82191781,Karnataka,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,38%,0,0,0,1,1
Joined,New Employee,1,28.09589041,New Delhi,PORTAL,0,Gurgaon,44,FALSE,2,Post Grad,1,19%,0,0,0,1,0
Joined,New Employee,0,26.70684932,Tamil Nadu,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,31%,0,0,0,1,0
OfferDeclined,New Employee,0,33.25205479,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,1%,0,0,0,1,0
OfferDeclined,New Employee,0,30.93424658,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,23%,0,0,0,1,0
Joined,New Employee,0,33.12328767,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Post Grad,0,19%,0,0,0,1,0
Joined,New Employee,1,33.71232877,Haryana,CONSULTANCY,0,Gurgaon,44,FALSE,2,MBA,1,30%,0,0,0,1,0
Joined,New Employee,1,34.74794521,Haryana,EMPLOYEE REFERRAL,0,Gurgaon,42,FALSE,2,Grad,0,32%,0,0,0,1,1
Joined,New Employee,1,30.08493151,Karnataka,CONSULTANCY,0,Gurgaon,42,FALSE,2,Grad,1,26%,0,0,0,1,1
Joined,New Employee,1,28.31506849,Karnataka,CONSULTANCY,0,Bangalore,42,FALSE,2,Grad,0,45%,0,0,0,1,1
OfferDeclined,New Employee,1,23.83287671,Haryana,CONSULTANCY,0,Bangalore,42,FALSE,2,Post Grad,0,0%,0,0,0,0,TRUE
Joined,New Employee,1,29.81917808,Karnataka,CONSULTANCY,0,Bangalore,42,FALSE,2,Grad,0,27%,0,0,0,1,1
Joined,New Employee,0,28.17808219,Haryana,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,MBA,0,30%,0,0,0,1,1
OfferDeclined,New Employee,1,28.35068493,Karnataka,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,0,27%,0,0,0,1,1
Joined,New Employee,1,32.05205479,Karnataka,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,34%,0,0,0,1,1
Joined,New Employee,0,28.49315068,Karnataka,PORTAL,1,Bangalore,44,FALSE,2,Grad,0,39%,0,0,0,1,0
Joined,New Employee,0,33.70958904,Kerala,PORTAL,1,Kochi,42,FALSE,2,Post Grad,0,25%,0,0,0,1,0
Joined,New Employee,0,26.60821918,Maharashtra,EMPLOYEE REFERRAL,1,Bangalore,44,FALSE,2,Grad,0,36%,0,0,0,1,0
OfferDeclined,New Employee,0,28.79178082,Karnataka,PORTAL,1,Bangalore,44,FALSE,2,Grad,0,38%,0,0,0,1,0
OfferDeclined,New Employee,0,27.39178082,Karnataka,CONSULTANCY,1,Bangalore,42,FALSE,2,Grad,0,21%,0,0,0,1,0
OfferDeclined,New Employee,0,30.95342466,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,13%,0,0,0,1,0
OfferDeclined,New Employee,0,30.62465753,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,18%,0,0,0,1,0
OfferDeclined,New Employee,1,27.4,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,15%,0,0,0,1,0
OfferDeclined,New Employee,1,30.08219178,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,41%,0,0,0,1,0
OfferDeclined,New Employee,0,32.42465753,Karnataka,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,0,24%,0,0,0,1,1
Joined,New Employee,0,38.29863014,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,MBA,0,57%,0,0,0,1,1
Joined,New Employee,0,27.20821918,Karnataka,EMPLOYEE REFERRAL,1,Bangalore,44,FALSE,2,Grad,0,23%,0,0,0,1,0
OfferDeclined,New Employee,0,30.06849315,Karnataka,EMPLOYEE REFERRAL,1,Bangalore,42,FALSE,2,Grad,0,21%,0,0,0,1,0
OfferDeclined,New Employee,1,26.57260274,Karnataka,EMPLOYEE REFERRAL,1,Bangalore,44,FALSE,2,Grad,0,20%,0,0,0,1,0
OfferDeclined,New Employee,0,30.31232877,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,32%,0,0,0,1,0
OfferDeclined,New Employee,1,27.29863014,Karnataka,PORTAL,1,Bangalore,44,FALSE,2,Grad,0,6%,0,0,0,1,0
OfferDeclined,New Employee,1,28.5260274,Karnataka,PORTAL,1,Bangalore,44,FALSE,2,Post Grad,0,31%,0,0,0,1,0
Joined,New Employee,0,28.89041096,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,31%,0,0,0,1,0
OfferDeclined,New Employee,0,33.74794521,Telangana,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,36%,0,0,0,1,1
Joined,New Employee,1,32.30958904,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,1,29%,0,0,0,1,0
OfferDeclined,New Employee,0,37.14246575,Karnataka,PORTAL,1,Bangalore,42,FALSE,2,Post Grad,0,7%,0,0,0,1,0
Joined,Transfer,0,27.88493151,Tamil Nadu,GDS LEAP,0,Bangalore,44,FALSE,2,Grad,1,5%,0,1,0,1,0
Joined,New Employee,0,33.90958904,Haryana,CONSULTANCY,0,Gurgaon,42,FALSE,2,MBA,1,38%,0,0,0,1,1
OfferDeclined,New Employee,0,30.8,New Delhi,CONSULTANCY,0,Gurgaon,42,FALSE,2,MBA,1,30%,0,0,0,1,1
OfferDeclined,New Employee,0,28.50684932,New Delhi,CONSULTANCY,0,Gurgaon,42,FALSE,2,MBA,0,29%,0,0,0,1,1
Joined,New Employee,1,28.68219178,Karnataka,CONSULTANCY,0,Bangalore,44,FALSE,2,Grad,0,45%,0,0,0,1,0
OfferDeclined,New Employee,0,31.38356164,Telangana,CONSULTANCY,0,Bangalore,44,FALSE,2,MBA,0,32%,0,0,0,1,0
Joined,New Employee,1,32.05205479,Karnataka,CONSULTANCY,0,Bangalore,44,FALSE,2,Grad,0,32%,0,0,0,1,0
