Target,Hiretype,Title,Age,Original State,PinCode,Source,IT,Joining Center,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided
Joined,New Employee,Mr,33.92876712,Karnataka,560016,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,1,0,33%,0,0,0,1,0
Joined,New Employee,Mr,38.71780822,Karnataka,560037,PORTAL,0,Bangalore,32,FALSE,2,CA,0,0,31%,0,0,0,1,0
Joined,New Employee,Mr,29.59452055,Karnataka,560007,EMPLOYEE REFERRAL,1,Bangalore,42,FALSE,2,Grad,0,0,36%,0,0,0,1,0
Joined,New Employee,Ms,31.27945205,New Delhi,110018,CONSULTANCY,0,Gurgaon,42,FALSE,2,MBA,1,0,36%,0,0,0,1,1
Joined,New Employee,Mr,32.44109589,Karnataka,560075,EMPLOYEE REFERRAL,0,Kochi,42,TRUE,2,MBA,0,0,23%,0,0,0,1,0
Joined,New Employee,Ms,27.45205479,Karnataka,560010,EMPLOYEE REFERRAL,0,Bangalore,44,FALSE,2,Post Grad,0,0,10%,0,0,0,1,0
Joined,New Employee,Ms,32.23561644,Telangana,500072,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,0,29%,0,0,0,1,1
Joined,New Employee,Ms,31.50684932,Uttar Pradesh,201310,EMPLOYEE REFERRAL,0,Bangalore,32,FALSE,2,Post Grad,1,0,43%,0,0,0,1,1
Joined,New Employee,Ms,29.56712329,West Bengal,700031,EMPLOYEE REFERRAL,0,Chennai,44,FALSE,2,Post Grad,1,0,24%,0,0,0,1,0
Joined,New Employee,Mr,31.95616438,West Bengal,700007,CONSULTANCY,0,Bangalore,44,FALSE,2,Grad,1,0,24%,0,0,0,1,0
Joined,New Employee,Mr,26.14794521,Karnataka,564001,PORTAL,0,Bangalore,44,FALSE,2,MBA,1,0,24%,0,0,0,1,0
Joined,New Employee,Mr,31.26027397,Karnataka,560047,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,0,33%,0,0,0,1,0
Joined,New Employee,Ms,28.28219178,Maharashtra,400053,EMPLOYEE REFERRAL,0,Gurgaon,42,FALSE,2,MBA,0,0,40%,0,0,0,1,1
Joined,New Employee,Mr,31.88493151,Maharashtra,400072,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,0,32%,0,0,0,1,1
Joined,New Employee,Mr,27.6109589,Karnataka,560037,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,MBA,0,0,18%,0,0,0,1,0
Joined,New Employee,Mr,30.28219178,Telangana,500081,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,MBA,1,0,37%,0,0,0,1,1
OfferDeclined,New Employee,Mr,29.07945205,Karnataka,560037,PORTAL,1,Bangalore,44,FALSE,2,Grad,0,0,20%,0,0,0,1,0
Joined,New Employee,Ms,30.85479452,Karnataka,560102,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,0,38%,0,0,0,1,1
Joined,New Employee,Ms,28.12876712,New Delhi,110018,PORTAL,0,Gurgaon,44,FALSE,2,Post Grad,1,0,19%,0,0,0,1,0
Joined,New Employee,Mr,26.73972603,Tamil Nadu,600117,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,0,31%,0,0,0,1,0
OfferDeclined,New Employee,Mr,33.28493151,Karnataka,560016,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,0,1%,0,0,0,1,0
OfferDeclined,New Employee,Mr,30.96712329,Karnataka,560043,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,0,23%,0,0,0,1,0
Joined,New Employee,Mr,33.15616438,Karnataka,560027,PORTAL,1,Bangalore,42,FALSE,2,Post Grad,0,0,19%,0,0,0,1,0
Joined,New Employee,Ms,33.74520548,Haryana,122001,CONSULTANCY,0,Gurgaon,44,FALSE,2,MBA,1,0,30%,0,0,0,1,0
Joined,New Employee,Ms,34.78082192,Haryana,122002,EMPLOYEE REFERRAL,0,Gurgaon,42,FALSE,2,Grad,0,0,32%,0,0,0,1,1
Joined,New Employee,Ms,30.11780822,Karnataka,560103,CONSULTANCY,0,Gurgaon,42,FALSE,2,Grad,1,0,26%,0,0,0,1,1
Joined,New Employee,Ms,28.34794521,Karnataka,560100,CONSULTANCY,0,Bangalore,42,FALSE,2,Grad,0,0,45%,0,0,0,1,1
OfferDeclined,New Employee,Ms,23.86575342,Haryana,122018,CONSULTANCY,0,Bangalore,42,FALSE,2,Post Grad,0,0,0%,0,0,0,0,TRUE
Joined,New Employee,Ms,29.85205479,Karnataka,560077,CONSULTANCY,0,Bangalore,42,FALSE,2,Grad,0,0,27%,0,0,0,1,1
Joined,New Employee,Mr,28.2109589,Haryana,122002,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,MBA,0,0,30%,0,0,0,1,1
