OverallStatus,Status,Hiretype,RecruiterGPN,Title,Age,Original State,PinCode,Source,Department,IT,Joining Center,Facility,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided,ExpectedJoiningDate,ActualJoiningDate,Target,dum_hiretype,dum_rec,dum_title,date,date1,dum_State,dum_Source,dum_Department,dum_Joining_Center,dum_Rank,dummy_IsRotationalShift,dum_Qual,joiningmonth
Joined,OfferAccepted,New Employee,XE020M42382,1,31.24657534,New Delhi,110018,CONSULTANCY,GCR,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,42,FALSE,2,MBA,1,0,0.36,0,0,0,1,1,16-07-2018,16-07-2018,1,1,2,NA,16-10-2019,16-10-2019 05:30,6,2,1,2,2,0,3,7
Joined,OfferAccepted,New Employee,XE020M39949,1,27.41917808,Karnataka,560010,EMPLOYEE REFERRAL,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,0.1,0,0,0,1,0,23-07-2018,23-07-2018,1,1,4,NA,16-10-2019,16-10-2019 05:30,1,1,6,1,1,0,1,7
Joined,OfferAccepted,New Employee,XE020M00201,1,31.4739726,Uttar Pradesh,201310,EMPLOYEE REFERRAL,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,32,FALSE,2,Post Grad,1,0,0.43,0,0,0,1,1,03-09-2018,03-09-2018,1,1,14,NA,16-10-2019,16-10-2019 05:30,9,1,6,1,4,0,1,9
Joined,OfferAccepted,New Employee,XE020M32824,0,26.11506849,Karnataka,564001,PORTAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,MBA,1,0,0.24,0,0,0,1,0,02-07-2018,02-07-2018,1,1,3,NA,16-10-2019,16-10-2019 05:30,1,3,2,1,1,0,3,7
Joined,OfferAccepted,New Employee,XE020M39949,0,31.22739726,Karnataka,560047,PORTAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,0,0,0.33,0,0,0,1,0,30-07-2018,30-07-2018,1,1,4,NA,16-10-2019,16-10-2019 05:30,1,3,4,1,2,0,2,7
Joined,OfferAccepted,New Employee,XE020M39949,0,27.57808219,Karnataka,560037,EMPLOYEE REFERRAL,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,MBA,0,0,0.18,0,0,0,1,0,06-08-2018,06-08-2018,1,1,4,NA,16-10-2019,16-10-2019 05:30,1,1,6,1,2,0,3,8
OfferDeclined,OfferDeclined,New Employee,XE020M39949,0,29.04657534,Karnataka,560037,PORTAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,0.2,0,0,0,1,0,09-07-2018,NA,0,1,4,NA,16-10-2019,16-10-2019 05:30,1,3,4,1,1,0,2,7
Joined,OfferAccepted,New Employee,XE020M38015,1,33.71232877,Haryana,122001,CONSULTANCY,PAS,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,44,FALSE,2,MBA,1,0,0.3,0,0,0,1,0,23-07-2018,23-07-2018,1,1,1,NA,16-10-2019,16-10-2019 05:30,7,2,2,2,1,0,3,7
Joined,OfferAccepted,New Employee,XE020M42382,1,30.08493151,Karnataka,560103,CONSULTANCY,PAS,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,42,FALSE,2,Grad,1,0,0.26,0,0,0,1,1,30-07-2018,30-07-2018,1,1,2,NA,16-10-2019,16-10-2019 05:30,1,2,2,2,2,0,2,7
Joined,OfferAccepted,New Employee,XE020M39949,0,28.49315068,Karnataka,560037,PORTAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,0.39,0,0,0,1,0,16-07-2018,16-07-2018,1,1,4,NA,16-10-2019,16-10-2019 05:30,1,3,4,1,1,0,2,7
Joined,OfferAccepted,New Employee,XE020M39949,0,33.70958904,Kerala,688529,PORTAL,Tax - TTT,1,Kochi,KOC Carnival2/All Entities/SEZ,42,FALSE,2,Post Grad,0,0,0.25,0,0,0,1,0,06-08-2018,06-08-2018,1,1,4,NA,16-10-2019,16-10-2019 05:30,3,3,4,4,2,0,1,8
OfferDeclined,OfferDeclined,New Employee,XE020M39949,0,27.39178082,Karnataka,560076,CONSULTANCY,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,0,0,0.21,0,0,0,1,0,09-07-2018,NA,0,1,4,NA,16-10-2019,16-10-2019 05:30,1,2,4,1,2,0,2,7
OfferDeclined,OfferDeclined,New Employee,XE020M39949,1,27.4,Karnataka,560036,PORTAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,0,0,0.15,0,0,0,1,0,16-07-2018,NA,0,1,4,NA,16-10-2019,16-10-2019 05:30,1,3,4,1,2,0,2,7
