Target,Hiretype,Title,age,Original State,Source,IT,Joining Center,Joining_center_1,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Experienced
1,New Employee,1,33.93150685,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,42,FALSE,2,Grad,1,0,33%,0,0,1
1,New Employee,1,38.72054795,Karnataka,PORTAL,0,Bangalore,Same,32,FALSE,2,CA,0,0,31%,0,0,1
1,New Employee,1,29.59726027,Karnataka,EMPLOYEE REFERRAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,36%,0,0,1
1,New Employee,0,31.28219178,New Delhi,CONSULTANCY,0,Gurgaon,Same,42,FALSE,2,Post Grad,1,0,36%,0,0,1
1,New Employee,1,32.44383562,Karnataka,EMPLOYEE REFERRAL,0,Kochi,Not_same,42,TRUE,2,Post Grad,0,0,23%,0,0,1
1,New Employee,0,27.45479452,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,44,FALSE,2,Post Grad,0,0,10%,0,0,1
1,New Employee,0,32.23835616,Telangana,CONSULTANCY,0,Bangalore,Not_same,42,FALSE,2,Post Grad,1,0,29%,0,0,1
1,New Employee,0,31.50958904,Uttar Pradesh,EMPLOYEE REFERRAL,0,Bangalore,Not_same,32,FALSE,2,Post Grad,1,0,43%,0,0,1
1,New Employee,0,29.56986301,West Bengal,EMPLOYEE REFERRAL,0,Chennai,Not_same,44,FALSE,2,Post Grad,1,0,24%,0,0,1
1,New Employee,1,31.95890411,West Bengal,CONSULTANCY,0,Bangalore,Not_same,44,FALSE,2,Grad,1,0,24%,0,0,1
1,New Employee,1,26.15068493,Karnataka,PORTAL,0,Bangalore,Same,44,FALSE,2,Post Grad,1,0,24%,0,0,1
1,New Employee,1,31.2630137,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,33%,0,0,1
1,New Employee,0,28.28493151,Maharashtra,EMPLOYEE REFERRAL,0,Gurgaon,Not_same,42,FALSE,2,Post Grad,0,0,40%,0,0,1
1,New Employee,1,31.88767123,Maharashtra,EMPLOYEE REFERRAL,0,Bangalore,Not_same,42,FALSE,2,Grad,0,0,32%,0,0,1
1,New Employee,1,27.61369863,Karnataka,EMPLOYEE REFERRAL,0,Bangalore,Same,42,FALSE,2,Post Grad,0,0,18%,0,0,1
1,New Employee,1,30.28493151,Telangana,EMPLOYEE REFERRAL,0,Bangalore,Not_same,42,FALSE,2,Post Grad,1,0,37%,0,0,1
0,New Employee,1,29.08219178,Karnataka,PORTAL,1,Bangalore,Same,44,FALSE,2,Grad,0,0,20%,0,0,1
1,New Employee,0,30.85753425,Karnataka,CONSULTANCY,0,Bangalore,Same,42,FALSE,2,Post Grad,1,0,38%,0,0,1
1,New Employee,0,28.13150685,New Delhi,PORTAL,0,Gurgaon,Same,44,FALSE,2,Post Grad,1,0,19%,0,0,1
1,New Employee,1,26.74246575,Tamil Nadu,EMPLOYEE REFERRAL,0,Bangalore,Not_same,42,FALSE,2,Grad,0,0,31%,0,0,1
0,New Employee,1,33.28767123,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,1%,0,0,1
0,New Employee,1,30.96986301,Karnataka,PORTAL,1,Bangalore,Same,42,FALSE,2,Grad,0,0,23%,0,0,1
