"","OfferId","OverallStatus","Status","Hiretype","RecruiterGPN","Title","Age","Original State","PinCode","Source","Department","IT","Joining Center","Facility","Rank","IsRotationalShift","NoticePeriod","Qualification1","Big four","DAndI","hike%","JoiningBonus","GoodsTransportationTravelEligibility","Stipend","Experienced","IsNoticePeriodReimbursementProvided","ExpectedJoiningDate","ActualJoiningDate","Target","dum_hiretype","dum_rec","dum_title","date","date1","dum_State","dum_Source","dum_Department","dum_Joining_Center","dum_Rank","dummy_IsRotationalShift","dum_Qual","joiningmonth"
"1",35119,"OfferDeclined","OfferDeclined","New Employee","XE020M42382",0,24.07123288,"New Delhi",110085,"PORTAL","Indirect",0,"Gurgaon","GGN UCP/All Entities/Non-SEZ",44,FALSE,2,"Post Grad",0,0,0.52,0,0,0,1,"0",2019-01-14,NA,0,1,2,NA,2019-10-16,2019-10-16 05:30:00,6,3,5,2,1,0,1,1
"2",35559,"Joined","OfferAccepted","New Employee","XE020M42382",1,26.7890411,"Tamil Nadu",600010,"EMPLOYEE REFERRAL","PAS",0,"Chennai","CHN DLF/ EYGDS/SEZ-SFT",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2019-01-21,2019-01-21,1,1,2,NA,2019-10-16,2019-10-16 05:30:00,2,1,2,3,1,0,1,1
"3",35590,"Joined","OfferAccepted","New Employee","XE020M24041",0,22.28493151,"Karnataka",560043,"PORTAL","PAS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2019-02-04,2019-02-04,1,1,5,NA,2019-10-16,2019-10-16 05:30:00,1,3,2,1,1,0,1,2
"4",37545,"Joined","OfferAccepted","New Employee","XE020M17867",1,26.82191781,"Karnataka",560016,"EMPLOYEE REFERRAL","PAS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,1,0,1,"0",2019-02-11,2019-02-11,1,1,12,NA,2019-10-16,2019-10-16 05:30:00,1,1,2,1,1,0,1,2
"5",37405,"Joined","OfferAccepted","New Employee","XE020M36003",0,23.54520548,"Karnataka",560003,"PORTAL","Indirect",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2019-02-25,2019-02-25,1,1,6,NA,2019-10-16,2019-10-16 05:30:00,1,3,5,1,1,0,1,2
"6",40089,"Joined","OfferAccepted","New Employee","XE020M38015",1,24.2,"Karnataka",560016,"EMPLOYEE REFERRAL","PAS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2019-04-08,2019-04-08,1,1,1,NA,2019-10-16,2019-10-16 05:30:00,1,1,2,1,1,0,1,4
"7",37757,"Joined","OfferAccepted","New Employee","XE020M42382",1,29.32054795,"Haryana",121006,"EMPLOYEE REFERRAL","PAS",0,"Gurgaon","GGN UCP/All Entities/Non-SEZ",44,FALSE,2,"Post Grad",0,0,0.26,0,0,0,1,"0",2019-03-05,2019-03-05,1,1,2,NA,2019-10-16,2019-10-16 05:30:00,7,1,2,2,1,0,1,3
"8",26849,"Joined","OfferAccepted","New Employee","XE020M32824",0,35.43835616,"Karnataka",560046,"EMPLOYEE REFERRAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Grad",0,0,0.11,0,0,0,1,"0",2018-07-23,2018-07-23,1,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,1,1,1,1,0,2,7
"9",35056,"Joined","OfferAccepted","New Employee","XE020M51545",1,33.42191781,"Karnataka",560084,"EMPLOYEE REFERRAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Post Grad",0,0,0.32,0,0,0,1,"0",2019-01-07,2019-01-07,1,1,7,NA,2019-10-16,2019-10-16 05:30:00,1,1,1,1,2,0,1,1
"10",28570,"OfferDeclined","OfferDeclined","New Employee","XE020M42382",1,34.15890411,"West Bengal",700045,"EMPLOYEE REFERRAL","Tax Chat",0,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Post Grad",1,0,0.47,0,1,0,1,"0",2018-11-19,NA,0,1,2,NA,2019-10-16,2019-10-16 05:30:00,5,1,3,1,2,0,1,11
"11",32883,"Joined","OfferAccepted","New Employee","XE020M39949",0,28.89589041,"Karnataka",560050,"EMPLOYEE REFERRAL","Indirect",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.49,0,0,0,1,"0",2018-12-17,2018-12-17,1,1,4,NA,2019-10-16,2019-10-16 05:30:00,1,1,5,1,1,0,1,12
"12",35961,"OfferDeclined","OfferDeclined","New Employee","XE020M24506",1,24.8109589,"Karnataka",580023,"PORTAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,1,0,1,"0",2019-02-11,NA,0,1,14,NA,2019-10-16,2019-10-16 05:30:00,1,3,1,1,1,0,1,2
"13",27697,"Joined","OfferAccepted","Re hire","XE020M39949",0,23.93150685,"Karnataka",560021,"PORTAL","PAS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Grad",1,0,0.15,0,0,0,1,"0",2018-08-06,2018-08-06,1,2,4,NA,2019-10-16,2019-10-16 05:30:00,1,3,2,1,1,0,2,8
"14",35960,"Joined","OfferAccepted","New Employee","XE020M24506",1,24.09589041,"Karnataka",574225,"PORTAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,1,0,1,"0",2019-02-04,2019-02-04,1,1,14,NA,2019-10-16,2019-10-16 05:30:00,1,3,1,1,1,0,1,2
"15",31613,"Joined","OfferAccepted","New Employee","XE020M38015",1,23.53424658,"Karnataka",560102,"EMPLOYEE REFERRAL","PAS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0,0,0,0,0,"0",2018-11-26,2018-11-26,1,1,1,NA,2019-10-16,2019-10-16 05:30:00,1,1,2,1,1,0,1,11
